id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
packaging_cardboard_roll_300_mm_width_75000_mm_length_3_5_mm_depth_kraft_rajapack_cp300,,Packaging Cardboard Roll 300 mm Width 75000 mm Length 3 5 mm Depth Kraft Rajapack Cp300,cardboard_roll,,,,,,,,
